product_id,url,name,current_price,original_price,image,unit,in_stock
"B0D8J5ZRKX","https://www.amazon.in/dp/B0D8J5ZRKX","Petcrux Happy Circle with Ball Bell & Teasing Stick","299.00","500","https://m.media-amazon.com/images/I/71CG-7FOycL._SX450_.jpg","270 g","In Stock"
"B0F39CNMF6","https://www.amazon.in/dp/B0F39CNMF6","PetCrux Essential Kit Smart Clump Lavender Essential Oils Bentonite Clay Cat Litter 10kg 1 Cat Litter Tray and 1 Scooper Combo for All Breeds of Cat","1499.00","2000","https://m.media-amazon.com/images/I/61Gmtda1HzL._SY450_.jpg","4.0 Count","In Stock"
"B0FXXGR42W","https://www.amazon.in/dp/B0FXXGR42W","PetCrux Eco Clump Cat Litter 5Kg, 100% Natural Bentonite Odour Lock Lavender and Lemon Scented Clay, Dust Free, Single Pack (Pack of 4)","1380.00","1380.00","https://m.media-amazon.com/images/I/51NEPXZKd4L._SY450_PIbundle-4,TopRight,0,0_AA450SH20_.jpg","20 kg","In Stock"
"B0CRR8PNX7","https://www.amazon.in/dp/B0CRR8PNX7","Petcrux Premium Pearl Millet (Bajra) Bird Food (1 Kg) for Pigeons, Doves, Canaries, Finches, Waxbills, Budgies, Lovebirds, Cockatiels, 1 kg Economic Pack (2 kg)","169.00","399","https://m.media-amazon.com/images/I/61+0k-O4eCL._SY450_.jpg","200 g","In Stock"
"B09Z6YHXLF","https://www.amazon.in/dp/B09Z6YHXLF","Petcrux Veg Striped Sunflower Seeds Food for Lovebirds, Sun Conures, Cockatails, African Grey Parrots, Green Cheek Conure, Macaws, CockatooFor Birds -3kg","599.00","999","https://m.media-amazon.com/images/I/717LWVoiZaL._SY606_.jpg","3 kg","In Stock"
"B0FXXH98TL","https://www.amazon.in/dp/B0FXXH98TL","Petcrux Tofu Cat Litter | Natural Flushable Clumping Litter | Plant Based Biodegradable | Ultra Odour Control | Dust Free | Low Tracking Cat Litter 6 L - 2.5 Kg (Green Tea) (Pack of 3)","1497.00","1497.00","https://m.media-amazon.com/images/I/51d+VNUv4RL._SY450_PIbundle-3,TopRight,0,0_AA450SH20_.jpg","7 kg 500 g","In Stock"
"B0FXXDWDJ9","https://www.amazon.in/dp/B0FXXDWDJ9","Petcrux Tofu Cat Litter | Natural Flushable Clumping Litter | Plant Based Biodegradable | Ultra Odour Control | Dust Free | Low Tracking Cat Litter 6 L - 2.5 Kg (Corn) (Pack of 2)","1398.00","1398.00","https://m.media-amazon.com/images/I/71yYN2FHcwL._SX450_PIbundle-2,TopRight,0,0_SX450SY350SH20_.jpg","5 kg","In Stock"
"B0FXXG9FNJ","https://www.amazon.in/dp/B0FXXG9FNJ","PetCrux Earthy Clump Cat Litter 5Kg 100% Natural Bentonite Odour Lock Rose Scented Clay Dust Free Trial or Travel or Single Pack Absorbent Eco-Friendly Sand for All Breeds of Cats (Pack of 2)","598.00","598.00","https://m.media-amazon.com/images/I/616b1k++FuL._SX450_PIbundle-2,TopRight,0,0_SX450SY310SH20_.jpg","10 kg","In Stock"
"B0CQG31BR8","https://www.amazon.in/dp/B0CQG31BR8","Petcrux Medium Bird Feeder with Holding Handle with 4 Feeding Nozzles, Hanging Sparrow Bird Feeder for Balcony, Garden Outdoor Bird Feeder, Bird Food Feeder (Green)","299.00","1199","https://m.media-amazon.com/images/I/61ooKNeVbaL._SY450_.jpg","200 g","In Stock"
"B0FXXHZW29","https://www.amazon.in/dp/B0FXXHZW29","Petcrux Tofu Cat Litter | Natural Flushable Clumping Litter | Plant Based Biodegradable | Ultra Odour Control | Dust Free | Low Tracking Cat Litter 6 L - 2.5 Kg (Corn) (Pack of 4)","2796.00","2796.00","https://m.media-amazon.com/images/I/51GeCyjgSnL._SY450_PIbundle-4,TopRight,0,0_AA450SH20_.jpg","10 kg","In Stock"
