name,unit,current_price,original_price,discount,in_stock,image
"Pepe Jeans Briefs (Cotton, Pack of 1, Solid) Grey - L","1 Large","420","449","6% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/12/7/deedbe3c-5f0d-409f-8ebf-80eabb111598_552653_1.png"
"Pepe Jeans Innerfashion Women Lounge Shorts","1 S","649","1399","54% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/ciw/2025/11/6/0d641768-22cb-4379-847e-cb4c27031d25_NPI-054038_1_20251106_072931.png"
"Pepe Jeans Premium Cotton Lace Hipsters (Set of 3) Multicolor - M","1 M","647","799","19% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/3/26/46da91d5-783c-4116-b839-428fddbc6362_175353_1.png"
"Pepe Jeans BGB01 -01 -CLBL - L","1 Large","299","629","52% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/2/15/d3906145-1f51-4c5e-86f2-a766817cc869_596367_1.png"
"Pepe Jeans Trunk CLT01 (M, Solid, Pack of 2) Charcoal - M","2 Medium","519","579","10% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/6/18/d60dad18-5086-460e-96d0-1dee84f12e26_177173_1.png"
"Pepe Jeans Trunk OPT07 (Cotton Mid Rise, Solid, Pack of 1) Black - S","1 Small","399","479","17% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/9/21/a7c1db41-b847-4921-9680-c177729839c9_484300_1.png"
"Pepe Jeans BGB01 -01 -OL - S","1 S","299","649","54% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/2/15/13ee34b7-eb2d-4c20-a2ee-f95453f6b26e_730130_1.png"
"Pepe Jeans Premium Kids Wear Aurora Pink Combo Ksc01 2-3 Yr shocks","1 x Age (2-3) Years","479","499","4% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/3/22/6eebd230-3c6a-4572-a2b0-23e68cf7fe72_613460_1.png"
"Pepe Jeans Cotton Night Suit Teal Floral - S","1 Small","899","1799","50% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/3/26/e3ec92df-10f4-4f08-b64a-9dc7c58427fd_918402_3.png"
"Pepe Jeans Men Brief (Cotton, Pack of 1) True Blue - XL","1 XL","279","NA","NA","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/7/25/d637bc71-7266-4128-bf02-09aae836d335_67075_1.png"
"Pepe Jeans Cotton Night Suit Grey Floral - XL","1 XL","899","1799","50% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/3/26/0ddf5ba7-8660-41bd-96d4-92d9af467fcc_877213_3.png"
"Pepe Jeans Men Boxer - CLLB02 Navy - L","1 L","449","899","50% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/6/12/b7d3360e-742a-4b67-8614-6545babe7272_379036_1.png"
"Pepe Jeans Innerfashion Women Co-ord set-WOPC05","1 M","1299","1999","35% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/ciw/2025/11/25/cb88d0fa-32d7-48cc-8ea4-655aec9a413b_NPI-053961_1_20251125_045245.png"
"Pepe Jeans Men Boxer (Cotton) Navy Blue - S","1 S","449","549","18% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/6/12/bb4cc927-d4de-4f16-b143-538f8f3f1878_50974_1.png"
"Pepe Jeans Cotton Night Suit Floral - M","1 M","899","1799","50% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/9/12/8cc0490f-d261-448e-b8d2-cf904d409d72_648595_1.png"
"Pepe Jeans Classic Cotton Printed Boxers (Rumba Red) - CLLB01 - XXL","1 XXL","449","549","18% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/6/12/788e1da9-e8df-45a0-9f80-1c52d3490405_220499_1.png"
"Pepe Jeans Men's Active Trackpant Navy PPTR01 Navy Blue - M","1 Medium","837","1199","30% OFF","In Stock","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/6/13/b108b67d-937a-4074-93fa-12ac9b6cbfb5_346739_1.png"
