product_id,asin,name,unit,current_price,original_price,in_stock,image,url
"524999","524999","Pepe Jeans Innerfashion Ultralight-Cotton Printed Men's Boxers (Black)","1 unit","679","799","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/6723af01-f5c0-43a6-9511-e27b2653fae2.png","https://blinkit.com/prn/pepe-jeans-innerfashion-ultralightcotton-printed-mens-boxers-black/prid/524999"
"726159","726159","Pepe Jeans Innerfashion Women's Sleepwear Set (Black)","1 set","1499","1999","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/95ce260a-9a76-4e87-bcac-6f32aa70214a.png","https://blinkit.com/prn/pepe-jeans-innerfashion-womens-sleepwear-set-black/prid/726159"
"726148","726148","Pepe Jeans Innerfashion Women's Sleepwear Set (Orchid)","1 set","1499","1999","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/23c8237b-be2b-4f25-b3f7-3d1ad366a478.png","https://blinkit.com/prn/pepe-jeans-innerfashion-womens-sleepwear-set-orchid/prid/726148"
"722513","722513","Pepe Jeans Innerfashion Women's Sweatshirt (Dark Blue)","1 unit","899","1299","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/fd36e849-718e-4a4c-b4e4-b3e326009288.png","https://blinkit.com/prn/pepe-jeans-innerfashion-womens-sweatshirt-dark-blue/prid/722513"
"722515","722515","Pepe Jeans Innerfashion Women's Sweatshirt (Dark Brown)","1 piece","899","1299","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/20fde10f-267d-444f-b64c-1b2ae86162c8.png","https://blinkit.com/prn/pepe-jeans-innerfashion-womens-sweatshirt-dark-brown/prid/722515"
"722512","722512","Pepe Jeans Innerfashion Women's Sweatshirt (Peach)","1 piece","899","1299","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/c1c4dbb5-a797-4336-89fc-4f848f9cd9e1.png","https://blinkit.com/prn/pepe-jeans-innerfashion-womens-sweatshirt-peach/prid/722512"
"721647","721647","Pepe Jeans Innerfashion Women's Sweatshirt (Pink)","1 piece","899","1299","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/8dcc8beb-38f9-49d6-af77-658f89e14c94.png","https://blinkit.com/prn/pepe-jeans-innerfashion-womens-sweatshirt-pink/prid/721647"
"721074","721074","Pepe Jeans Innerfashion Women's Sweatshirt (Red)","1 piece","899","1299","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/f0cdc11b-7925-4783-b5b5-60957f36ab92.png","https://blinkit.com/prn/pepe-jeans-innerfashion-womens-sweatshirt-red/prid/721074"
"726318","726318","Pepe Jeans Innerfashion Car Kids Socks (Blue, 2 - 3 years)","3 pairs","499","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/7f822226-be39-48cc-a017-245cb460a398.png","https://blinkit.com/prn/pepe-jeans-innerfashion-car-kids-socks-blue-2-3-years/prid/726318"
"726377","726377","Pepe Jeans Innerfashion Pet Kids Socks (Multicolour, 2 - 3 years)","3 pairs","499","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/7cd947b0-e63b-4e7c-b681-6041a18b70f3.png","https://blinkit.com/prn/pepe-jeans-innerfashion-pet-kids-socks-multicolour-2-3-years/prid/726377"
"726304","726304","Pepe Jeans Innerfashion Pet Kids Socks Combo (Multicolour, 7 - 9 years)","3 pairs","499","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/489c99c7-ae6d-4d0c-be88-86a9c8d4313e.png","https://blinkit.com/prn/pepe-jeans-innerfashion-pet-kids-socks-combo-multicolour-7-9-years/prid/726304"
"726500","726500","Pepe Jeans Innerfashion Smiling Kids Socks (Multicolour, 1 - 2 years)","3 pairs","499","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/0e6a84ff-c770-4fb4-83dd-3de0359291cb.png","https://blinkit.com/prn/pepe-jeans-innerfashion-smiling-kids-socks-multicolour-1-2-years/prid/726500"
"583940","583940","Pepe Jeans Innerfashion Bow Kids Socks (Multicolour, 1 - 2 years)","1 pack (3 pairs)","400","499","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/a702a4e5-707a-4f35-95be-244aee6d0a92.png","https://blinkit.com/prn/pepe-jeans-innerfashion-bow-kids-socks-multicolour-1-2-years/prid/583940"
"535353","535353","Pepe Jeans Innerfashion Men's Striped Socks (Multicolor, Free size)","3 pair","599","799","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/09e43300-7e9c-41d2-a081-ff35b94a5923.png","https://blinkit.com/prn/pepe-jeans-innerfashion-mens-striped-socks-multicolor-free-size/prid/535353"
"698423","698423","Pepe Jeans Innerfashion Solid Quick Dry Men's T-Shirt (Ice Blue)","1 unit","499","999","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/e4f5dc7947cf4f54a4fcf0a6c9c428e1.png","https://blinkit.com/prn/pepe-jeans-innerfashion-solid-quick-dry-mens-tshirt-ice-blue/prid/698423"
"543544","543544","Pepe Jeans Innerfashion Solid Quick Dry Men's T-shirt (Black)","1 unit","589","999","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/b9704745-21f2-41a7-9ae4-edf34d6340c8.png","https://blinkit.com/prn/pepe-jeans-innerfashion-solid-quick-dry-mens-tshirt-black/prid/543544"
